Domain,Program,Target,SD
Sensory Processing & Awareness,Vestibular Stimulation,Shift weight from one foot to another,Stand and shift your weight side-to-side.
Sensory Processing & Awareness,Vestibular Stimulation,Engage in a gentle tilting motion,Tilt your body from side to side as shown.
Sensory Processing & Awareness,Vestibular Stimulation,Participate in a slow rotational movement,Rotate slowly with my guidance.
Sensory Processing & Awareness,Vestibular Stimulation,Adjust to different speeds of movement,Experience both slow and slightly faster rocking.
Sensory Processing & Awareness,Vestibular Stimulation,Maintain balance during a gentle spin,Keep your balance while spinning slowly.
Sensory Processing & Awareness,Vestibular Stimulation,Respond to a change in movement direction,Adjust quickly when I change direction.
Sensory Processing & Awareness,Proprioceptive Input Activities,Push a weighted object across the floor,Push the weighted toy from one end to the other.
Sensory Processing & Awareness,Proprioceptive Input Activities,Pull a heavy object with assistance,Pull the toy wagon with both hands.
Sensory Processing & Awareness,Proprioceptive Input Activities,Hug a weighted blanket for comfort,Hold the weighted blanket for a few seconds.
Sensory Processing & Awareness,Proprioceptive Input Activities,Perform a pushing activity against resistance,Push the wall with your hands gently.
Sensory Processing & Awareness,Proprioceptive Input Activities,Squeeze a stress ball repeatedly,Squeeze the ball and let go when I say 'release.'
Sensory Processing & Awareness,Proprioceptive Input Activities,Engage in a gentle tug-of-war with a soft rope,Pull the rope when I say 'pull' softly.
Sensory Processing & Awareness,Proprioceptive Input Activities,Carry a light weighted object from one place to another,Carry this small bag from here to there.
Sensory Processing & Awareness,Proprioceptive Input Activities,Experience resistance by pushing against a cushion,Push the cushion and feel the resistance.
Sensory Processing & Awareness,Proprioceptive Input Activities,Demonstrate force control when lifting an object,Lift the object with steady control when prompted.
Sensory Processing & Awareness,Proprioceptive Input Activities,Maintain body awareness during a gentle squeeze,Keep squeezing the ball until I count to three.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Use a fidget toy to calm down,Hold the fidget toy and squeeze it slowly.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Engage with a soft textured blanket for comfort,Wrap yourself in the soft blanket when upset.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Use deep pressure by hugging a stuffed animal,Hug the stuffed animal tightly for comfort.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Listen to calming music when distressed,Sit quietly while listening to the soft music.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,"Practice slow, deep breathing",Take a deep breath when I say 'breathe slowly.'
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Use a weighted vest during quiet time,Wear the vest and sit calmly for a minute.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Engage in a self‑soothing touch activity,Gently rub your arms when you feel upset.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Apply a calming lotion to your hands,Rub the lotion on your hands slowly when prompted.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,"Use a visual calming aid (e.g., lava lamp)",Watch the lamp and relax for 30 seconds.
Sensory Processing & Awareness,Sensory Regulation & Self‑Calming,Practice rhythmic tapping to soothe yourself,Tap your hand softly in a rhythmic pattern.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Allow gentle hair brushing,Let me brush your hair slowly.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Tolerate a soft cloth on your face,Keep your face still when I wipe it gently.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Sit still during a simulated haircut,Sit quietly as I pretend to cut your hair.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Cooperate during tooth brushing,Open your mouth and let me brush your teeth.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Allow a gentle ear cleaning with a cotton swab,Stay calm while I gently clean your ear.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Tolerate a light skin massage,Let me rub your arms gently for a few seconds.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Cooperate during nail brushing,Keep your hand steady while I brush your nails.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Allow the sensation of a hair dryer from a distance,Watch the hair dryer without coming too close.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Stay comfortable with a grooming tool near you,Watch the grooming tool without distress.
Sensory Processing & Awareness,Grooming & Handling Tolerance,Increase tolerance for brief grooming routines,Sit still during a quick hair combing session.
Safety & Environmental Awareness,Responding to Safety Commands,Stop immediately when hearing 'stop',"When I say 'stop', freeze your movement."
Safety & Environmental Awareness,Responding to Safety Commands,Come when you hear 'come here',Turn and come when I say 'come here.'
Safety & Environmental Awareness,Responding to Safety Commands,Look toward the source when commanded,Look in the direction of the command when I say 'look here.'
Safety & Environmental Awareness,Responding to Safety Commands,Respond promptly to a 'no' command,Immediately stop your activity when I say 'no.'
Safety & Environmental Awareness,Responding to Safety Commands,Follow a safety command in a busy environment,Pay attention to my 'stop' even if there is noise.
Safety & Environmental Awareness,Responding to Safety Commands,Respond to a hand signal for safety,Look at me when I raise my hand for 'stop.'
Safety & Environmental Awareness,Responding to Safety Commands,Acknowledge a safety signal with eye contact,Make eye contact when I give the safety cue.
Safety & Environmental Awareness,Responding to Safety Commands,Respond to a safety command with a body movement,Move away when I say 'move back.'
Safety & Environmental Awareness,Responding to Safety Commands,Follow a multi-step safety command,"When I say 'stop and come here,' do both actions."
Safety & Environmental Awareness,Responding to Safety Commands,Repeat the safety command back,Say 'stop' when I say it.
Safety & Environmental Awareness,Hazard Recognition,Identify a dangerous object,Point to the object that is hot or sharp.
Safety & Environmental Awareness,Hazard Recognition,Recognize an unsafe area,Avoid the area marked as unsafe.
Safety & Environmental Awareness,Hazard Recognition,Show recognition of potential hazards,Point to the object that should not be touched.
Safety & Environmental Awareness,Hazard Recognition,Differentiate safe from unsafe objects,Choose the safe object from the two options.
Safety & Environmental Awareness,Hazard Recognition,Respond with 'no' when asked to touch a dangerous object,Say 'no' when I point to a hazard.
Safety & Environmental Awareness,Hazard Recognition,Demonstrate caution around dangerous items,Step away when you see something dangerous.
Safety & Environmental Awareness,Hazard Recognition,Identify dangerous situations in a picture,Point to the hazardous item in the photo.
Safety & Environmental Awareness,Hazard Recognition,Respond to a simulated hazard appropriately,Stop when you see the mock hazard.
Safety & Environmental Awareness,Hazard Recognition,Follow a safety routine when encountering hazards,Take a step back when I show a danger sign.
Safety & Environmental Awareness,Hazard Recognition,Explain why an object is dangerous (using gestures),Show 'no' when I point to the sharp object.
Safety & Environmental Awareness,Stranger Awareness,Differentiate between known and unknown persons,Point to the familiar face when I show two photos.
Safety & Environmental Awareness,Stranger Awareness,Respond to a stranger’s approach with a safe behavior,Look to your caregiver when a stranger appears.
Safety & Environmental Awareness,Stranger Awareness,Identify a stranger in a controlled setting,Point to the person who is not your caregiver.
Safety & Environmental Awareness,Stranger Awareness,Show caution when approached by an unfamiliar person,Take a step back when a stranger comes near.
Safety & Environmental Awareness,Stranger Awareness,Follow instructions to seek a safe adult,Go to your caregiver when I say 'find mommy/daddy.'
Safety & Environmental Awareness,Stranger Awareness,Use a visual cue to identify familiar faces,Select the picture of a family member from a set.
Safety & Environmental Awareness,Stranger Awareness,Express confusion appropriately when meeting someone new,Look to me for guidance when approached.
Safety & Environmental Awareness,Stranger Awareness,Demonstrate safe behavior when encountering unfamiliar individuals,Stay close to your caregiver when a stranger is around.
Safety & Environmental Awareness,Stranger Awareness,Respond to a role-play of stranger danger,Say 'no' when I act like a stranger.
Safety & Environmental Awareness,Stranger Awareness,Follow a scripted response when meeting someone unknown,Look at me and say 'I know you' only if familiar.
Safety & Environmental Awareness,Safe Exploration Routines,Stay within a designated safe area,Remain inside the circle marked on the floor.
Safety & Environmental Awareness,Safe Exploration Routines,Follow visual boundaries during play,Play only inside the taped area on the floor.
Safety & Environmental Awareness,Safe Exploration Routines,Respond to a visual cue to stay close,Stay near the line when I point to it.
Safety & Environmental Awareness,Safe Exploration Routines,Identify safe zones on a playground,Point to the safe area when shown a picture.
Safety & Environmental Awareness,Safe Exploration Routines,Follow a structured route during exploration,Walk along the path I set out for you.
Safety & Environmental Awareness,Safe Exploration Routines,Avoid off-limit areas when prompted,Do not enter the area marked with a red line.
Safety & Environmental Awareness,Safe Exploration Routines,Use a visual marker to stay within bounds,Stay inside the boundary marked by cones.
Safety & Environmental Awareness,Safe Exploration Routines,Respond to a verbal prompt to check safety,"When I say 'look around,' identify the safe area."
Safety & Environmental Awareness,Safe Exploration Routines,Move safely from one designated area to another,Walk from the circle to the square as directed.
Safety & Environmental Awareness,Safe Exploration Routines,Recognize a safety signal in the environment,Point to the safety sign when you see it.
Safety & Environmental Awareness,Safe Use of Equipment,Follow directions for safe playground use,Hold onto the bar when using the slide.
Safety & Environmental Awareness,Safe Use of Equipment,Use playground equipment with supervision,Climb the ladder only when I say 'go.'
Safety & Environmental Awareness,Safe Use of Equipment,Demonstrate proper use of a swing,Sit properly in the swing when I instruct.
Safety & Environmental Awareness,Safe Use of Equipment,Maintain proper form on a balance beam,Walk along the beam without falling when prompted.
Safety & Environmental Awareness,Safe Use of Equipment,Show caution when using a slide,Slide down slowly when I say 'slide.'
Safety & Environmental Awareness,Safe Use of Equipment,Follow safety rules during equipment play,Hold the handles and follow my cue on the playground.
Safety & Environmental Awareness,Safe Use of Equipment,Identify safe vs. unsafe equipment in pictures,Point to the equipment that is safe to use.
Safety & Environmental Awareness,Safe Use of Equipment,Respond to a safety reminder before using equipment,Listen and nod when I remind you to be safe.
Safety & Environmental Awareness,Safe Use of Equipment,Demonstrate safe climbing techniques,Climb the play structure with my help.
Safety & Environmental Awareness,Safe Use of Equipment,Return safely from equipment play,Walk back to me after using the equipment.
Safety & Environmental Awareness,Emergency Help‑Seeking,Recognize when help is needed in an emergency,Raise your hand when you feel unsafe.
Safety & Environmental Awareness,Emergency Help‑Seeking,Identify a trusted adult when lost,Point to the picture of your caregiver when lost.
Safety & Environmental Awareness,Emergency Help‑Seeking,Call out for help when in danger,Say 'help' when you feel unsafe.
Safety & Environmental Awareness,Emergency Help‑Seeking,Respond to a role-play emergency,Come to me immediately when I shout 'help!'
Safety & Environmental Awareness,Emergency Help‑Seeking,Follow instructions during a simulated emergency drill,Line up when I say 'drill time.'
Safety & Environmental Awareness,Emergency Help‑Seeking,Use a safety signal to ask for assistance,Press the emergency button when you need help.
Safety & Environmental Awareness,Emergency Help‑Seeking,Identify emergency exits in a room,"Point to the door when I ask, 'Where’s the exit?'"
Safety & Environmental Awareness,Emergency Help‑Seeking,Follow a visual safety map to exit,Look at the map and follow the arrow to exit.
Safety & Environmental Awareness,Emergency Help‑Seeking,Demonstrate calm behavior during an unexpected event,Stay calm when I simulate an emergency.
Safety & Environmental Awareness,Emergency Help‑Seeking,Use an emergency phrase when prompted,Say 'I need help' when I give the signal.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Engage in a calming behavior when upset,Hold your comfort object when you feel upset.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Use a deep breath to calm down,Take a deep breath when I say 'breathe.'
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Rub a soft blanket to self-soothe,Gently rub your blanket when distressed.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Suck on a pacifier to self-calm,Place the pacifier in your mouth when upset.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Hug a stuffed animal for comfort,Give the stuffed animal a big hug.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Use a repetitive motion to relax,Rock back and forth slowly when prompted.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Sing a soft tune to oneself quietly,Hum softly to yourself when feeling agitated.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Look at a calming picture to feel better,Focus on this calm image when upset.
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Sit quietly with dimmed lights,Stay seated in a dim room when I say 'quiet time.'
Behavioral & Self‑Regulation Skills,Self‑Soothing Strategies,Use a gentle touch on self to regulate emotions,Stroke your arm softly when I say 'calm down.'
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Identify a feeling using a picture card,Point to the card that shows how you feel.
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Label a basic emotion verbally,Say 'happy' when you feel good.
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Express frustration using a calm voice,Speak softly when you feel frustrated.
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Use a gesture to indicate anger,"Shake your fist gently when angry, then calm down."
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Shift from a negative to a neutral facial expression,Relax your face when I say 'calm.'
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Follow a calming routine after upset,Do the calming routine when you start crying.
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Practice a self‑talk phrase to manage emotion,Say 'I am okay' when you feel upset.
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Show a relaxed body posture after a deep breath,Sit back and relax after taking a deep breath.
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Transition facial expression from angry to happy with a smile,Smile after frowning when I prompt 'happy face.'
Behavioral & Self‑Regulation Skills,Emotional Regulation Techniques,Indicate a shift in mood using a color chart,Point to the color that represents your mood change.
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Follow a one‑step command reliably,Do as I say: 'clap your hands.'
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Respond immediately to a 'stop' command,Stop moving when I say 'stop.'
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Follow a simple directive during play,Pick up the toy when I say 'pick it up.'
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Complete a one‑step task with minimal prompting,Put the block in the box when asked.
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Respond to a sign for compliance,Show compliance when I hold up the 'stop' sign.
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Follow a command even with mild distraction,Listen and act when there’s background noise.
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Repeat a command to confirm understanding,Say 'okay' when I give a command.
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Demonstrate immediate response to a nonverbal cue,Nod when I signal 'yes.'
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Accept a gentle correction during instruction,Adjust your action when I gently correct you.
Behavioral & Self‑Regulation Skills,Compliance with Simple Instructions,Show willingness to follow an instruction,Smile when you complete the task as I said.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Wait for a preferred item for 5 seconds,Wait patiently when I say 'wait.'
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Practice waiting for a turn during play,Sit quietly until it’s your turn.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Extend waiting time gradually,Wait for 10 seconds when I say 'wait.'
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Use a visual timer to learn waiting,Watch the timer until it signals your turn.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Engage in a quiet activity while waiting,Play quietly with a puzzle during waiting time.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Count silently while waiting for a preferred item,Count in your head until you get the item.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Use a simple self‑talk phrase to wait,Say 'I can wait' while waiting for your turn.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Maintain calm during a waiting period,Keep calm while I count to five.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Demonstrate patience in a turn‑taking game,Wait for your turn without interrupting.
Behavioral & Self‑Regulation Skills,Delay Tolerance & Waiting,Follow a visual cue indicating the end of waiting,Watch the picture card until it changes.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Use an alternative behavior when frustrated,Say 'help' instead of hitting when upset.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Identify a calming strategy when upset,Point to your calming card when frustrated.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Replace a tantrum with a communication sign,Show the 'I need help' sign when upset.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Take a deep breath instead of yelling,Inhale deeply when you feel angry.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Use a designated quiet area when frustrated,Go to the quiet corner when upset.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Express discomfort verbally rather than physically,Say 'I don’t like that' instead of crying.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Follow a redirection when starting to show frustration,Look at me when I offer an alternative activity.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Engage in a soothing activity as an alternative to a tantrum,Play with a calming toy when you start to get upset.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Use a social story to reduce frustration,Listen to the story and then use your calm voice.
Behavioral & Self‑Regulation Skills,Reducing Challenging Behaviors,Acknowledge feelings and ask for help,Say 'help' when you feel overwhelmed.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Use a sign or word to request help appropriately,Say 'help' when you need assistance.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Ask for a break when overwhelmed,Say 'break' when you need to stop.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Express preference using a picture card,Choose the picture card that represents your choice.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Request a favorite item using a gesture,Point to the item when you want it.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Use a simple phrase to indicate discomfort,Say 'I feel bad' when uncomfortable.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Express need for assistance with a hand sign,Show the 'help' sign clearly when needed.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Indicate a desire for a turn with a verbal prompt,Say 'my turn' when you want to participate.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Request a change of activity politely,Say 'change please' when you want to switch.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Express a need for quiet using a gesture,Put your finger to your lips when you want quiet.
Behavioral & Self‑Regulation Skills,Appropriate Communication for Needs,Use a visual schedule to indicate preferences,Point to the picture that represents your next activity.
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Prepare for a change of activity when signaled,Look at the timer when I say 'time to switch.'
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Follow a visual cue to transition,Move to the next activity when the picture changes.
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Use a countdown to prepare for transition,Count down with me until we switch activities.
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Demonstrate a calm response to activity change,Move smoothly to the new activity when I say 'go.'
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Follow a verbal reminder of the upcoming change,Listen when I say 'soon we will change.'
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Use a song to signal transition,Sing the transition song when it’s time to change.
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Prepare a visual cue board for transitions,Look at the board and follow the sequence.
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Move from preferred to non-preferred activities with support,Follow my hand signal when it’s time to change.
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Initiate a goodbye gesture to the current activity,Wave goodbye to the toy when we switch.
Behavioral & Self‑Regulation Skills,Transitioning Between Activities,Acknowledge the end of one activity and the start of another,Say 'bye' to the old and 'hi' to the new when prompted.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Show flexibility when a routine changes,React calmly when I say 'something is different.'
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Adapt to a slight change in schedule,Follow the new schedule when I show you the updated board.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Demonstrate coping skills during a surprise interruption,Take a deep breath when a surprise occurs.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Use a familiar object to ease uncertainty,Hold your comfort toy when things change unexpectedly.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Follow a rehearsed plan when a change occurs,Do the steps we practiced when things switch suddenly.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Express confusion verbally and ask for clarification,Say 'I don’t understand' when a change happens.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Remain calm in a mildly unexpected situation,Stay seated and take a deep breath when something new happens.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Utilize a visual cue to adapt to change,Look at the picture card that shows the new activity.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Engage in a calming activity after an unexpected event,Sit with your calming toy after a surprise.
Behavioral & Self‑Regulation Skills,Coping with Unexpected Changes,Describe what changed using simple words,Point and say 'new' when you see something different.
Communication & Language Development,Prelinguistic Vocal Play,Produce varied consonant–vowel combinations,"Make sounds like 'ga', 'da', 'ka' when I model them."
Communication & Language Development,Nonverbal Communication,Use gestures to indicate a need,Point to your mouth when you want food.
Communication & Language Development,Yes/No Response,Respond with a head nod or shake to yes/no questions,"Nod for yes and shake for no when I ask, 'Do you want this?'"
Communication & Language Development,Early Word Approximations,Attempt to label common objects,Say a word like 'baba' when you see a bottle.
Communication & Language Development,Augmentative and Alternative Communication (AAC),Select a picture symbol to request an item,Touch the picture of the toy on the device when prompted.
Social & Emotional & Engagement Skills,Understanding Personal Space,Maintain an appropriate distance during interactions,Keep about one arm's length away from others when I say 'give space.'
Social & Emotional & Engagement Skills,Emotion Matching,Match a facial expression from a card to your own,Look in the mirror and mimic the expression when I say 'match this face.'
Social & Emotional & Engagement Skills,Using Social Stories,Listen to a social story and answer a simple question,Say 'I understand' when I ask what happened in the story.
Social & Emotional & Engagement Skills,Cooperative Play,Share a toy with a peer,Offer the toy to your friend when I say 'share with your friend.'
Social & Emotional & Engagement Skills,Conflict Resolution,Express frustration with a simple phrase,Say 'I’m upset' when a conflict occurs.
Play & Imitation Skills,Water Play Exploration,Splash water in a controlled manner,Splash water lightly when I say 'splash'.
Play & Imitation Skills,Puppet Play Imitation,Imitate a puppet's actions,Copy the puppet’s movements when I show you the puppet.
Play & Imitation Skills,Group Play Initiation,Invite a peer to join in play,Say 'let's play together' when I prompt you.
Play & Imitation Skills,Sequential Action Imitation,"Imitate a series of actions (e.g., clap then wave)","Repeat 'clap, then wave' after I demonstrate."
Play & Imitation Skills,Sensory Play with Varied Materials,Explore playdough with hands,Knead the playdough when I say 'squeeze'.
Adaptive (Daily Living & Self Help) Skills,Handwashing Routine,Wash hands with supervision,"Turn on the tap, apply soap, and rinse when I say 'wash your hands.'"
Adaptive (Daily Living & Self Help) Skills,Toothbrushing Routine,Brush teeth with assistance,Brush your teeth for 30 seconds when I say 'brush your teeth.'
Adaptive (Daily Living & Self Help) Skills,Bath Time Participation,Assist in washing during bath,Splash and gently wash when I say 'wash time.'
Adaptive (Daily Living & Self Help) Skills,Diaper Change Routine,Remain calm during diaper changes,Stay still when I say 'change time.'
Adaptive (Daily Living & Self Help) Skills,Advanced Feeding Skills,Use a fork to self-feed soft food,Spear the soft food with your fork when I say 'eat now.'
Motor Skills,Head Control in Tummy Time,Lift and hold head steady during tummy time,Keep your head up when I say 'lift head.'
Motor Skills,Reaching Across Midline,Reach with the opposite hand across your body,Reach with your left hand when I point to the toy on your right.
Motor Skills,Scooting on Tummy,Scoot forward on your belly,Move forward on your tummy when I say 'scoot.'
Motor Skills,Crossing Midline,Touch your opposite hand to your knee,Reach across to touch your knee when I say 'cross over.'
Motor Skills,Kicking a Ball,Kick a soft ball forward,Gently kick the ball when I say 'kick'.
Cogntive & Pre Academic Readiness,Object Permanence,Find a toy hidden under a cloth,Lift the cloth when I say 'where's it?'
Cogntive & Pre Academic Readiness,Following Multi-Step Instructions,Complete a two-step command,"Touch your nose then clap when I say 'nose, clap.'"
Cogntive & Pre Academic Readiness,Understanding Opposites,Identify opposites such as big vs. small,Point to the big block when I say 'big.'
Cogntive & Pre Academic Readiness,Emergent Symbol Recognition,Identify a common letter or shape,Point to the letter 'A' when I say 'A.'
Cogntive & Pre Academic Readiness,Simple Problem Solving,Solve a simple 3-piece puzzle,Arrange the pieces to complete the picture when I say 'puzzle time.'
Sensory Processing & Awareness,Visual Tracking,Track a moving object with your eyes,Follow the moving light with your eyes when I say 'watch closely.'
Sensory Processing & Awareness,Auditory Discrimination,Differentiate between two tones,Point to the higher tone when I play them.
Sensory Processing & Awareness,Tactile Discrimination,Identify smooth versus rough surfaces,Touch and point to the smooth item when I say 'smooth.'
Sensory Processing & Awareness,Olfactory Discrimination,Identify a familiar scent,Smell the scented item and say 'flower' if it smells like a flower.
Sensory Processing & Awareness,Taste Exploration,Experience different tastes under supervision,Taste the sweet sample when I say 'taste this.'
Safety & Environmental Awareness,Fire Safety Awareness,Recognize the sound of a fire alarm,Point to the fire alarm picture when I say 'alarm sound.'
Safety & Environmental Awareness,Water Safety,Demonstrate safe behavior near water,Stay away from the pool edge when I say 'stay back.'
Safety & Environmental Awareness,Recognizing Hot Objects,Identify an object that is hot,Point to the hot object when I say 'that’s hot.'
Safety & Environmental Awareness,Understanding Personal Boundaries,Maintain a safe distance during play,Keep about one arm's length away when I say 'give space.'
Safety & Environmental Awareness,Emergency Procedures,Follow a simple emergency drill,Line up when I say 'drill time.'
Behavioral & Self Regulation Skills,Self-Monitoring of Emotions,Point to the mood card that reflects your current feeling,Choose the mood card when I ask 'How do you feel?'
Behavioral & Self Regulation Skills,Use of Break Cards,Use a break card when overwhelmed,Hand me the break card when you need a pause.
Behavioral & Self Regulation Skills,Self-Advocacy,Raise your hand to request a break,Raise your hand when you need a break.
Behavioral & Self Regulation Skills,Positive Self-Talk,Say a positive phrase like 'I can do it',Say 'I can do it' when I prompt you.
Behavioral & Self Regulation Skills,Task Persistence,Engage in an activity for 1 minute without distraction,Keep playing for 60 seconds when I say 'keep going.'
